Texto_Procesado,Emocion
Casi diario,0
"Disfrutar cada día ,cada momento que haces ,no esperar o dejar pasar el tiempo",1
Insomnio,4
"me frustro, me estreso, me enojo",2
"La felicidad es un estado emocional de sentimientos de alegría, satisfacción, bienestar y plenitud",1
"Me duele la cabeza, me empiezan a doler los hombros, no puedo conciliar el sueño y a veces llega un punto en el que me siento tan frustrada que me dan ganas de llorar",4
Pensar en las posibilidades que abre cada decisión y tomar la más conveniente .,3
Hacer las cosas que más te gustan y dejar de preocuparse por cosas insignificantes.,1
Cuando me siento muy presionado o con mucho trabajo encima,0
"Si puede sentir preocupación/frustración, pero últimamente estoy intentando ser más resiliente, por lo que opto por considerar que el orden de las cosas tienen un sentido de ser y hago lo posible por aminorar el impacto de aquello que no sale bien.",2
Cuando se me juntas muchas cosas por hacer,5
En problemas famliares,5
"Dolor de cabeza, dolor de cuello y algunas veces me pongo nerviosa",4
"Frío, nervios",4
Me molestó.,2
"Dolor de cabeza, cansancio",4
GUARDAR LA CALMA PARA PENSAR BIEN LO QUE TENGO QUE HACER,3
"Analizar, plantear opciones, compararlas y tomar una decisión",3
"Cuando me peleo con mis papas , al tener muchas tareas y que hacer en casa,",0
"Encontrar el sentido de vivir, superarme a mi mismo, progresar, aumentar mi calidad de vida, estudiar hasta hartarme de conocimiento, reventar de información, y descubrir si realmente tiene sentido vivir hoy. Toda la vida es un constructor social, estudiar, trabajar, ganar dinero, ¿quien define que es lo correcto y lo incorrecto?, ¿Dios existe?, encontrar respuesta a todas las preguntas existentes, y describir si vale la pena vivir, ¿Por qué no me suicide hace 9 años en ese intento?, ¿Por qué no me suicido mañana o en un mes?, ¿Que pasará? ¿Que vale la vida?, solo ideas, opiniones y pensamientos de las personas cercanas... Es todo un chiste. La felicidad es la búsqueda del sentido de la vida. Mis escritores favoritos son Nietzsche y Viktor Frankl.",1
ME ENOJO POR UN MOMENTO Y SE ME QUITA.,2
"La felicidad es un sentimiento pasajero, es una reacción del cuerpo cuando las preocupaciones y problemas del entorno desaparecen y solo importa vivir el momento al máximo.",1
"Tranquilizarme, aveces juego videojuegos o trato de dormir para pensar bien en como solucionar mi situación",3
"Primero analizo la situación, consulto la opinión de personas de confianza o con experiencia en el tema, también busco información adicional. Analizo los puntos de vista y elijo la opción que considero mas adecuada.",3
Cuando tengo sentimientos encontrados por alguna persona.,5
Cuando no logro hacer lo que tengo que hacer o me sale mal,4
"Cuando no puedo dormir ,cuando hace mucho calor",0
Normalmente pienso mucho las ventajas y desventajas de las opciones para elegir correctamente,3
"normalmente analizar los riesgos que puede existir al tener la decisión , ver los beneficios y al final decidir si es la mejor opción que podrá ayudarme",3
Calma y paz,1
Cuando administro mal mi tiempo y sacrifico horas de sueño,0
"Manos frías, tartamudeó",4
"Platicarlo con un amigo cercano, reflexionarlo con un grupo de amigos mas grande, platicarlo con mis padres y al final analizar pros y contras para finalmente tomar la decisión",3
"Ante situaciones difíciles, analizo y trato de identificar opciones, busco apoyo si es necesario",3
"Al término del día, aunque creo que eso es normal, me dan muchas ganas de solo quedarme dormida por horas, y también después después de entrenar en día de acondicionamiento",0
Es la satisfacción de hacer las cosas que nos agradan,1
Analistas pros y contras,3
Cuando no siento el control de las cosas,0
"Tiendo a presentar gastritis, sueño durante el día, dolor de cabeza y síntomas de ansiedad",4
"La felicidad es esa calma, relajación y aquello que nos puede hacer sentir queridos e incluso importantes",1
Sugeriría que es un estado de plenitud y satisfacción,1
analizo la situación recreo todos los escenarios que pueden suceder reconozco las consecuencias pienso las alternativas elijo la decisión,3
"Cuando no comprendo algo, cuando me excluyen",0
"Me siento estresado cuando mis pendientes se empiezan a cumular, aunque no necesariamente sea porque procrastino, sino más bien que pienso mucho en que al estar haciendo un pendiente, después hay otro y otro. etc. Las situaciones en las que me siento molesto son cuando hago algo que no estoy cómodo haciendo, o que no quería hacer en primer lugar, pero las circunstancias me obligan a hacerlo.",0
Cuando me sale todo como lo planeo,1
"Analizar pros y contras, mis necesidades.",3
Al llegar a casa,1
cuando encuentro solución a algún problema.,1
"Cuando paso alguna situación de riesgo, malentendidos o cuando tengo problemas con alguna otra persona",0
Cuando no hago las cosas bien a la primera o no comprendo un tema Cuando extraño a mi familia,5
Primero ver si economicamente me conviene despues pongo los positivo y negativo de la decision,3
"Cuando mis planes del día no salen bien. Y cuando estoy en mi casa, sola en mi cuarto o es de noche y cuando llueve.",5
Me preocupo mucho y trato de solucionar rapido,2
"Si ya ocurrió algo, pero tiene solución, acepto los hechos, pero tomo acción inmediata para solucionarlo, o a futuro para evitar que vuelva a pasar. Creo que lo saque de una película, entonces a mi familia le pasan mucho este tipo de cosas, siempre lo que más molesta es el tiempo desperdiciado o las distancias que hay que viajar, pero siempre digo ""¿se murió alguien?, no, ¿verdad?, entonces ahorita lo resolvemos"". es el típico ""ahorita vemos que pedo"" porque no tiene sentido lamentarse, si únicamente te quedas pensando en el hubiera, no va a pasar nada.",2
"Dolor de estómago, sudor frío, náuseas, alteración de sentidos, enojo, tristeza, falta de aire",4
"Me enojo un poco conmigo mismo, después me calmo y trato de solucionarlo con la mente fría",2
"Cuando no cumplo con la entrega de tareas por parte de la universidad o cuando no soy disciplinado y constante en otros aspectos, tanto como personales y escolares.",4
Ver todos los aspectos que beneficien o perjudiquen en un futuro tomando esa eleccion,3
Ansiedad y Nerviosismo,4
"Comúnmente en las noches cuando me pongo a pensar cosas que van a pasar, o incluso cosas que no estoy seguro que pasen",4
Durante jornadas de trabajo muy largas y extenuantes,5
la mayoría de la semana me he sentido cansado un par de ocasiones me sentí bien.,0
Busco la solución más rápida al problema,3
"Confusión, dolor de cabeza, insomnio",4
Cuando estoy con mis amigos y compartimos experiencias cómo salir juntos a platicar sobre temas en común.,1
Ultimamente estos últimos dias,0
Ninguna,4
"Es estresante y molesto, aunque intento calmarme pensando en que estas cosas pasan siempre y no podemls cambiar lo sucedido",2
"Me estreso en el momento, es mi reacción, pero finalmente hago lo posible, lo que se pueda y lo que no lo tomo de la mejor manera pues este tipo de situaciones son parte de la vida.",2
Paz mental,1
"Veo siempre el lado positivo y realista, trato de llevarlo con tranquilidad, suprimo esos sentimientos y ser fuerte es lo que me ayuda",3
Tranquilizarme y pensar en una serie de pasos para dar solucion que yo pueda realizar en ese momento,3
"Pienso las cosas que sean bueno y malo, con ello ya veo que decisión tomar",3
Cuando tengo entregas de proyectos y no he terminado o no mis compañeros de equipo no muestran interes,4
Cuando estoy con el pendiente que no he hecho,4
"Tensión en el cuerpo, necesidad de mover la pierna",4
"Me enojo un poco, pero busco una manera de solucionarlo",2
Momentos relacionados con la escuela al dedicarle mayor tiempo a ciertas tareas y desequilibrar el horario de sueño provoca que me sienta cansado la mayor parte del día,0
Cuando me doy cuenta de mis pendientes,4
En sentimientos de estrés y emociones fuertes.,5
"Cuando hago lo que disfruto, como jugar videojuegos o ver alguna película o alguna serie.",1
Reflexionar sobre lo que pasa dependiendo de lo que elegiría,3
"Son situaciones de estrés, ya que no cuentas que te pase eso, pero en mi modo de pensar es mejor hablar con la verdad y buscar solucion al problema",2
cuando todo me sale bien,1
Cuando me estreso o preocupo por situaciones de alto nivel,5
"Sentirse bien con uno mismo, tener amor propio.",1
"Dolor de pecho, dolor de cabeza, dolor de espalda",4
"Siento un hormigueo, o en casos extremos ganas de vomitar",4
Cuando tengo muchas cosas que hacer y no se que hacer,4
Pienso y lo hago,3
Cuando no llego a tiempo a mis clases o veo mi cuenta de banco,4
Cuando estoy con cierta persona que me agrada.,1
"Me causa mucha frustracion primero, busco pensar en otfas opciones.",2
Cada que escucho música o veo una banda vivo,1
"Trato de aprender de ello y luego no martirizar la situación. Si algo inesperado paso y estaba en mi mano hacerlo mejor, me reprochó por ello, trato de ver cómo lo puedo hacer mejor y la próxima vez estar listo, pero después de eso lo olvido y no dejo que apodere de mi mente. Si no estaba en mi mano el cambiar algo, simplemente voy directo a la parte donde me alejo de los pensamientos negativos e intento seguir lo mejor que se pueda.",2
Mayormente me la paso en el transporte publico asi que puede que en esas circunstancias,0
"Tratar de calmarme y buscar soluciones, si no puedo hacerlo solo consultar a alguien que me pueda ayudar",3
Podría ser donde tengo bastante carga de trabajo y no puedo organizar mi tiempo correctamente,0
"Los días entre semana, cuando tengo que caminar demasiado para llegar a casa, cuando tengo demasiado peso en la mochila",0
Familia,1
"Cuando veo a mi gato, comer, pasar tiempo con amigos, ver películas",1
"Creo que mi corazón empieza a latir más rápido, a veces siento comezón",4
"¿Cansado en qué termino?, ¿Cansado de la vida? ¿Físicamente o emocionalmente? Si es así, últimamente solo físicamente, trato de hacer actividades para cansarme y así poder dormir temprano y no estar toda la noche pensando.",0
Ser objetivo.,3
"a veces pueden ser dolores de cabeza, pero ya cuando este estresado, a veces también puede ser de que sienta una pequeña presión en el pecho y un poco ansioso, todo depende de la situación donde este alimentando mi preocupación",4
"Posiblemente siempre lloro primero, después trato de buscar ayuda y darle solución como planear que haré y por que.",3
En ninguna,5
La paz,1
Cuando me desvelo haciendo proyectos finales,0
El abismo de lo complicado que puede ser salir de mi estatus económico. Que cumplir ese sueño puede ser difícil y fracasar para volverme uno más del sistema.,5
Cuando me frustro,5
Presion en el pecho,4
Algo despreocupado ya que puede ser molesto pero todo tiene solución,2
"La felicidad son pequeños momentos de nuestra vida, no siempre podemos ser felices, lo importante es encontrar un equilibrio y aprender a disfrutar de las pequeñas cosas que nos hacen felices",1
"meditar un rato, leer y elegir lo que considero más correcto",3
"Ante injusticia, situaciones donde no me puedo defender o no me dejan expresar mis sentimientos",5
Cuando no va bien lo que realizo o tengo problemas en hacerlo.,4
Trato de calmarme y pensar las cosas y su posible solucion,3
"Mantener la calma, evaluar la situación, en caso necesario pedir ayuda y evaluar mis alternativas para su solución",3
Dolor de cabeza,4
Cuando no suelk expresar de manera correcta lo que siento o pienso.,0
Ignorarla hasta que llegue el momento y actuar sobre la marcha,3
con la muerte de un familiar,5
Cuando alguna persona que me importa está pasando por algún problema o cuando tengo algún pendiente que no puedo resolver,4
Estar en paz produce felicidad,1
Realiza cada una de tus acciones como si fueran la ultima,1
"Por lo regular me estreso cuando siento que no aprendo más de lo que ya sé o algo no me aporta nada novedoso, también cuando siento que no avanzo en proyectos o de manera personal, es frustrante pero suelo mantener la calma y pensar en que si cambio yo cambia mi entorno.",0
"Cuando paso mucho tiempo con mis amigos, en general con muchas personas al mismo tiempo",0
"Me pongo nervioso, pero desues de pensar en como debo actuar, lo hago",3
Meditar si es una situación que está en mi control,3
Simplemente poco a poco ir afrontando hasta que pase,3
Dolor de cabeza y espasmos,4
"Cuando debo hacer elecciones primero veo todas mis opciones, estudio los beneficios y consecuencias de tomar ese camino, analizo el grado de importancia y así hago una elección.",3
Casi toda las semana me eh sentido con mucho cansancio,0
Después de un dia de escuela y tareas.,0
Después de un día pesado,0
"La felicidad está en aquellas cosas que te hacen creer que vale la pena vivir, una persona, una mascota, un sentimiento que te haga sentir bien.",1
Mentalizarme por las noches y entender la situación. También me gusta entrenar cuando me siento así,3
"Cuando estoy con mis amigos o platico con mi familia, así también cuando realizo algún pasatiempo o aprendo algo que me interesa",1
Situación en la que uno llega a sentir comodidad,1
"1. Hacer una lista de cosas favorables de la situación. 2. Hacer una lsita de cosas desfavorables de la situación. 3. Hacer una comparación entre ambas listas. 4. Recordar ""Sea cuál sea la decisión que tome hoy, no me voy arrepentir mañana"" 5 .Tomar la decisión",3
"Trato de ser lo más centrada posible , ya que si nos exponernos a situaciones de enojo o nervios puede llegar a tomarse una mala decisión",2
Al detectar injusticias,0
"creo que primero seria analizar las opciones, después pensar en cual es la opción que podría darme algún beneficio, ya sea que pueda darle una solución rápida y eficiente o si la opción que escoja podría darme un poco de felicidad sin perjudicar o perjudicando lo mas mínimo al prójimo, también en caso de no haber una buena opción tratar de buscar nuevas opciones aunque requieran de algún esfuerzo extra con tal de solucionar el problema o situación por ultimo dar respuesta de mi elección.",3
"trato de darle una menor importancia y evitar preocuparme tanto ya soy mas de la filosofía de ""Si un problema tiene solución ¿para qué preocuparse? y si no lo tiene, ¿para qué preocuparse?""",2
Dolor de cabeza y nauseas.,4
Cuando juego videojuegos o estoy en el gimnasio me genera satisfacción y alegría.,1
Soy una persona despreocupada,4
1. Analiza mis opciones 2. Analizo las pros y contras de cada opcion 3. Bada en los pros y contras escojo una opción,3
Paz y alegría,1
"Que la fecilidad es en momentos donde estas tranquilo, lleno de libertad, cuando estas viviendo el momento plenamente",1
Universidad,0
"La felicidad está presente en múltiples instantes de nuestra vida, se encuentra en los momentos en los que puedes ser tu mismo, en los que no tienes nada qué ocultar y sientes mucha paz.",1
Nerviosismo y estrés,4
"Primero acepto que es una situación muy difícil, pienso en los posibles desenlaces y trato de ser fuerte",3
Me enojo,2
"Justamente ahora porque estamos en semana de evaluaciones. Es cuando se acumula todo (trabajos, tareas, proyectos)",0
"La felicidad es cuando me siento en calma, paz y que em ambiente sea sano",1
"Cuando juego, cuando juego con mis amigos, cuando salgo a algún lado",1
"Cuando estoy haciendo un trabajo, ya es tarde y todavía no puedo terminar",5
1. Buscar todas las opciones 2. Ver mis posibilidades 3. Priorizar lo que quiero 4. Escoger lo que mejor se adapte a eso,3
"En situaciones de comvivenvia con amigos, al obtener buenos resultados en la escuela , al lograr algunas actividades o metas personales",1
Después de que me desvelé hay momentos que al día siguiente me siento cansado sobretodo cuando me siento aburrido.,0
Cuando salgo con mis amigos o cuando platico entre clases con compañeros de la facultad,1
"Cuando estoy lleno de trabajo, cuando aprendo algo nuevo.",0
En las tardes cuando hago mis actividades pendientes tanto escolares como a parte,4
Cuando llego a mi casa,0
Encontrar el equilibrio entre la parte emocional y mental de un individuo,1
"Primero, analizo la situación por un rato, segundo pienso en qué puede pasar dependiendo de la elección que decida, a veces también me gusta escuchar la opinión de alguna persona importante para mí y que sé que va a ser sincero conmigo, escuchar la opinión de otros no significa para mí hacer lo que ellos digan, al final de todo, para tomar una decisión es basándome en lo que creo que es mejor para mí y que no va a afectar a otros.",3
Durante la noche,4
Me siento muy cansado y con poca paciencia,4
Cuando se juntan muchas cosas por hacer y la gente no toma en cuenta que también necesito de descansos o espacios libres,0
"Primero enlistar qué opciones tengo, analizar qué conllevaría tomar cierta decisión y evaluar ventajas y desventajas, si las ventajas pesan más que las desventajas entonces esa es tu decisión",3
Cuando las cosas no me salen como yo quisiera,0
El clima y discutir sobre cosas sin importancia,0
cuando no tengo tiempo suficiente,0
"De manera tranquila ya que duelo comprender que es común que algo así pase, así como género nuevas formas de evitar aquello",2
Es subjetiva y derivada de la gente y los bienes que están contigo,1
"Dios es la felicidad, solo en Él se puede ser feliz",1
Después de llegar de la escuela por causa de las olas de calor y hace un par de días tenía demasiado sueño que me quede dormido en la tarde,0
Todos los días,4
Al tener que terminar todas las tareas que tengo asignadas en mi vida diaria y por parte de la universidad.,0
"Cuando estoy entrenando, cuando me levanto y cuando me pongo a hacer tareas",0
"Maldecir la situación, analizar la situación ver los posibles caminos y soluciones mentalizarse y terminar gritando en mi mente ""no se cómo pero aquí y ahora superare mis límites""",3
Cuando no entiendo algo de la carrera,5
TODA LA SEMANAS,0
Al despertar para ir a la escuela,0
Cuando no le entiendo a los temas de matemáticas o de programación,4
"Ultimamente si es verdad que hay momentos cuando que me gusta tomar siestas, pero no es como todo el dia me sienta extremadamente cansado.",0
En situaciones que involucra a mi familia ya que no puedo decir lo que pienso realmente y solo me causa frustración y enojo el no poder decir nada puesto que es tomado a mal y hay veces que eso provoca ganas de llorar por impotencia,0
A haces ataques de antiedad dolor de estómago o cabeza,4
cuando algo no puedo solucionarlo,0
Cuando las cosas no resultan bien a mi favor o cómo yo quería o debían suceder. Incluso cuando algo me disgusta o desagrada en cualquier ámbito.,0
Trato.de tranquilizarme y pensar con la cabeza fria,3
"Dependiendo de la sutuación, mas cuando cometo errores en mi vida, que me llego a frustar.",5
Familia,1
En tener nuevo balón y en pedir un tablero para jugar basquetbol,1
Cuando no estoy logrando lo que quise hacer o lo que pensé que podría lograr,0
Pasar tiempo con mi novio y mi familia,1
Al llegar a casa después de la universidad,0
"Cuando la gente no me toma en cuenta, cuando otros se creen superiores",0
Cuando duermo,1
Cuando se me juntan las cosas,5
"Cuando tengo mucha tarea, cuando estoy aprendiendo algo nuevo, además cuando llego a mi casa después de ir en bicicleta.",0
-Analizar las consecuencias de mi decisión - ver algunas otras opciones de respuesta - hacerlo sin arrepentimiento,3
Cuando recibo la aprobación de los profesores y cuando estoy con mis amigos,1
"Hormigueo en los brazos, dolor de cabeza, dolor en el pecho",4
Disfrutar todo lo que haces,1
"Ponerme a pensar en las posibilidades y una posible solución, y a la vez calmarme y concentrarme para enfrentar y resolver el problema",3
Cuando entreno natación,0
"Al inicio del día, muchas veces se me hace temprano para salir o cuando se entregan calificaciones de una materia que siento que me ira mal",4
"Primero veo a quienes esta afectando esta aparte de mi, luego busco opciones de como solucionar o sobrellevar la situacion, y escojo la opcion que muestre respuesta inmediata.",3
Dolos de cabeza y como que me siento extraño.,4
Evaluar cada situacion en cuanto a su impacto en mis responsabilidades y lograr mi control emocional.,3
La felicidad es todo aquello qué te mantenga emocionado sin generar preocupación,1
me enfoco en resolover el problema,3
Tener buenas momentos en los que tu recuerdes en los que te la pasaste increíble o tener todo resultó como querías ya que la tranquilidad también se podría resultar como felicidad o tener todo lo que quieres,1
Con desesperación y enojo,2
Cuando me desesperó,5
"Si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo",2
"Describir exactamente la situación, a partir de ahí valorar pros y contras, y poner en balanza todo esto y a partir de ahí tomar la decisión",3
"A veces soy indiferente, ""despreocupado"" Y en situaciones importantes siempre trato de mantener la calma",2
"Me gusta calmarme al darme cuenta que es algo que no puedo controlar, y después solucionarlo",2
Desesperación,2
Vive y deja vivir además de no sobre pensar las cosas.,1
Al momento de estar con amigos. En momentos en los que regreso a mi casa y veo a la familia(ya que soy foráneo) En momentos dónde consigo sobresalir en aspectos de mi vida.,1
Estres,4
"En las noches, al llegar a casa",4
Orar,3
Que la vida se trata de ver qué tan bueno puede llegar uno a ser,1
Cuándo estoy con amigos,1
Cuando me pongo a pensar en lo abrumador del futuro. Cuando siento que nadie me entiende,5
Cuando salgo y camino mucho,4
Siempre preparado para lo que venga en la vida.,3
"La felicidad , se podría interpretar como el sentirse emocionalmente bien , en un pequeño momento de la vida . Esto significa que puede presentarse en una situación en la que todas tus emociones se combinan entre si .",1
"Cuando llegan final de parciales, se junta el trabajo y las.materias y hace que sea muy estresante",0
Preguntar con gente que yo sepa que me pueden dar un buen consejo,3
"La felicidad es la presencia de tranquilidad, paz y armonía con tú ser y tú entorno, basado en la satisfacción de las actividades o acciones que haces o simplemente la tranquilidad contigo mismo",1
En la universidad con muchas tareas,0
Cuando las cosas no salen como se planean,4
Al pasar momentos de juego o platicas con amigos o familia,1
"Estar en un lugar seguro y tranquilo donde sientas que perteneces, donde podrás pasar tiempo con tus seres queridos y donde podrás disfrutar tus actividades favoritas en tu tiempo.",1
1.Expreso mis emociones. 2.Pido ayuda a la persona en que más confio. 3.Trato de distraerme con cosas que me hagan feliz. 4.Busco alguna motivación para poder salir adelante.,3
"Emoción por algo, buscar el motivo de la felicidad: personas, dinero, salud, etc.",1
Cuando mi equipo de trabajo no ayuda,0
"No tengo un escritor favorito, pero creo que la idea que tendría seria estar en calma y feliz",1
Cuando las cosas no salen como esperaba,5
Cuando obtengo un logro o estoy con mis amigos,1
Me molesto pero despues comienzo a pensar en alguna solucion,2
cuando no puedo dormir pensando en mis decisiones,0
"He tenido varias actividades fuera de casa, así que andar fuera es cansado",0
Cuando son finales de semestre,0
Cuando tengo demasiados deberes.,0
Cuando pienso que me puedo morir,4
"No me enojo conmigo mismo, solo intento aprender de ese error para que no me vuelva a suceder. Para la próxima reviso que hice mal y lo repito hasta que me salga bien.",2
Estando en mi casa conviviendo con mi mama,0
"Analizo las consecuencias, alternativas y puntos de vista externos para discernir mi decisión",3
"Cuando termino de hacer tareas o mientras las estoy haciendo, es mucho estrés y eso me cansa física y mentalmente.",0
"Cuando hago mis finanzas y puede que no complete los gastos del mes, cuando mi familia o amigos no se comunican que esta bien despues de salir",4
Frustración y preocupación de la vida adulta,5
fines de semana,0
Pues si me enojo y me quejo pero hasta ahí. Lo que pasó ya pasó y sigo con mi día.,2
"Primero analizaría la situación, después analizaría las opciones que puedo escoger y de cada opción, pesaría si las consecuencias de elegirla dicha opción son favorables o no, la que opción más favorable es la que elegiría",3
1. Analizar si es factible la decisión. 2. Analizar ventajas y desventajas de la decisión. 3. Pedir un consejo o platicarlo con alguien de confianza. 4. Visualizar los posibles caminos que podría seguir al tomar la decisión. 5. Hacer un plan y tomar mi decisión.,3
"Cuando no me salen las cosas como yo quiero, soy muy impaciente",0
Cuando me reúno con mis amigos presencial o en linea para jugar videojuegos. Cuando termino algo complejo y complicado en el trabajo y reconocen mi trabajo,1
Tranquilo,2
Al terminar el dia.,0
Intento solucionarlo lo más rápido posible,2
Intento mantener la calma,3
me pongo muy serio o me molesta todo,2
"Pongo musica que me tranquilice o libere el estres, como o bien me repito que no todas las situaciones no pueden salir a mi favor y no hay problema tan grande que no tenga solucion",3
"Ganas de dormir, cansancio.",4
cuando no puedo resolver algo de la escuela o de mi trabajo,0
Me autocrítico porque es algo que hago todos los días y aún así se me olvida,2
"Últimamente no he llorado, la última vez fue dado por desapego de mis familiares a mis problemas.",5
"Respiro, reviso a fondo el problema y lo divido en problemas mucho mas pequeños, despues, hago una lista mental de acuerdo a la dificultad y por ultimo abordo el problema de acuerdo a esa lista empezando por el mas facil.",3
Principalmente al pensar en mi futuro y en si de verdad quiero esta carrera y está universidad (BUAP),4
Semana de exámenes,0
"a veces pienso mucho, si puedo evitarlo lo evito, si puedo hacer que se resuelva rapido lo hago, sino simplemente hago lo que pueda",3
1. Valorar todas las posibles soluciones y amenazas 2. Elegir una solucion segun crea sea la mejor opcion 3. llevarla a cabo,3
"Pensar bien las ventajas y desventajas de cada opción, y elegir la que más me convenga, o en su defecto, guiarme por mi instinto",3
Ninguna,5
Por no ir a trabajar O por un trabajo de la escuela,4
"Temblores, respiración rápida, poca habla",4
"Estrés, me siento agotado, me siento desanimado, me siento impaciente o estoy pensando mucho las cosas, con frecuencia trato de hablar con mi consciencia.",4
"Ver los pros y contras, analizando bien las situaciones a corto y largo plazo",3
"Recopilar todas mis alternativas, valoro beneficios y consecuencias, lo discuto con amigos",3
Cuando requiero realizar una tarea que no he realizado o en momentos de examenes,4
Cuando cumplo algún objetivo o meta personal.,1
Tomarme un espacio para poder pensar de mejor manera y no afectar a terceros.,3
Felicidad es el momento en el que estas bien contigo mismo fisica y mentalmente,1
Cuando tengo muchas tareas pendientes o cuando la gente actua de maneras poco consideradas desde mi punto de vista,0
Estabilidad financiera y realizar las actividades que te gustan sin preocupaciones.,1
No sé,4
Cuando llueve,5
Al tener muchos trabajos por hacer,0
Pues con calma y trato de solucionarlo y si ya no se puede asumo las consecuencias,2
Ver a la gente que quiero,1
Cuando dejan una nueva tarea o exámen,4
Casi todos los dias,0
Al finalizar mi jornada de prácticas. Después de haber convivido o estado en lugares con mucha gente.,0
"Llorar, buscar soluciones, implementarlas",3
"Cuando veo que no consigo realizar las tareas de la escuela. Cuando no veo progreso en mis estudios o materias, tareas, proyectos.",4
"Cuando paso tiempo con mis amigos, como salir a comer o a lugares",1
"Estres, dolor de cabeza, cansancio",4
Escalofríos y dolor de cabeza,4
"Intento de mantener la calma, analizar la situación y actuar con base en mis principios",3
"Dolor de pecho y cabeza, debilidad corporal",4
No poder dormir y estar nervioso,4
Al transitar la ciudad de noche,4
"Por lo regular en las tardes, esto debido al clima y a qué no regulo muy bien mis horas de sueño",0
Cuando hay discusiones familiares en casa y tareas o proyectos que me cuestan comprender,0
"Cuando no entiendo una materia o cuando me atraso en la misma, cuando recuerdo cosas que no quiero",0
"Cuando tengo clases, algún examen, tengo algún pendiente.",4
cuando tengo pendientes por resolver o situaciones,4
Cuando tengo muchas tareas pendientes,4
Analizar la manera más efectiva de resolverlo tratando siempre de resultar no tan afectados por la situación,3
Tiene inversiones,3
"Pensar, eso ayuda mucho, por que las cosas se dieron por algo, y si es posible hayas una solución",3
"1ro tener en cuenta por donde quiero empezar, 2do empezar a hacer las idea ya sea tanto los pro y los contra, 3ro ir haciendo todo el proceso, 4to checar si funciono mi idea si no, solo no estresarme y comenzar de nuevo",3
Cuando fallecio algun familiar o recordamos que fallecio,5
"Me doy un tiempo para analizar, y comprender lo que paso, y busco la forma de superarlo o solucionarlo.",3
"Exceso de ruido, tiempo en contra, incapacidad de resolver algo.",0
Experimento dificultad para concentrarme.,4
Cuando no tengo el control absoluto de lo que quiero,0
Trabajando,1
"Me calmo, respiro y soluciono",2
1.Trato de mantener la calma. 2.En algunas ocasiones me pongo a llorar. 3.Busco alguna solucion y aprendo de la experiencia.,2
"De acuerdo a la gravedad del asunto y el como haya sucedido. Si ha pasado por mi culpa la gran mayoría de veces me enojo y siento demasiada frustración en el momento, si no es algo que estuvo en mi, ocasionalmente me enojo o me siento estrés pero otras simplemente espero a ver cual es la consecuencia que puede llevar.",2
"Cuando no encuentro soluciones a problemas complejos, que tienen solucion pero no puedo ejercer solucion",0
"Me da mucho comezón en el cuerpo, me empiezo como morder un poco las uñas , me salen ojeras , me salen granos en la cara y ando como con el cuerpo cortado",4
"Me pongo a llorar, después pienso en las razones de la situación, busco posibles soluciones y tomo una decisión.",3
"Con la presión de la escuela, por las tareas, proyecto, practicas y todos los pendientes de la visa que se acumulan.",5
Saliendo de la escuela,0
Trato de enfocar mi mente al 100% en el problema y dejar de lado lo que siento,3
ansiedad o desesperación,4
"siento que aplastan mi pecho, pierdo el apetito y mi estado de ánimo se vuelve volátil.",4
Pues muchas veces no se cómo actuar,3
"Cuando no logro mis objetivos diarios, el incuplimiento de la disciplina y la búsqueda constante de un ritmo de trabajo.",0
"La felicidad es cuando mezclamos la tranquilidad con algo que nos agrada, que nos divierte y/o que amamos.",1
"Pienso en las posibles acciones con las que puedo abordar la situación, en base a ello tomo la que creo que será la mejor, ya me tocara vivir las consecuencias.",3
reviso los contras y las posibilidades la que pese mas,3
"En la tarde, cuando llego de la escuela",4
"La felicidad se encuentra en las pequeñas cosas de la vida, en los momentos simples y sinceros que nos llenan de alegría y gratitud. Es la sonrisa de un ser querido, el abrazo cálido en un día frío, la risa compartida en una conversación amena. La felicidad es sentirnos plenos y en paz con nosotros mismos y con el mundo que nos rodea, disfrutando cada instante y encontrando belleza en lo cotidiano.",1
Cuando veo que hay personas que por no hacer nada les va mejor. Estresado creo que por las cosas de la escuela y los eventos que suceden en casa.,0
Un estado de bienestar y satisfacción,1
Buscar relajarme y pensar en como podre sobrellevarla,3
Cada vez que debo realizar un trabajo escolar,0
cuando recibo malas noticias,5
"Cuando estoy con mis amigos,cuando salgo a pasear,cuando juego videojuegos ya sea solo o con mis primos",1
Cuando no resultan las cosas,0
Por el dinero,4
"Cuando siento que mi mundo se derrumba, cuando a pesar de todo lo que hago e intento hacer de la mejor manera nada sale como quiero o espero, ahí mi frustración es tanta que surgen las ganas de llorar.",5
"En un principio, me quedo trabado mentalmente en la situación presente y como sucedió, posteriormente tomo varios respiros hondos con la técnica de respiración triangular, considero todas las opciones a tomar de manera inmediata y tomo la que considere mejor en su momento.",2
"La verdad tengo mucha paciencia, es muy difícil hacerme enojar pero cuando me insisten muy seguido o me repiten mucho algo me enojo",0
