Marca Temporal,ID único,"4. ¿En qué situaciones de su día a día, puede identificar que se ha sentido preocupado?"
5/16/2024 16:57:14,KGOL6JXH,Cuando no logro llegar a los objetivos que tenía planeados
5/16/2024 17:16:08,V6MYHJGB,Todo el tiempo que estoy en clases
5/17/2024 0:16:31,JZEC253P,en las tardes
5/17/2024 0:54:15,Y29P2VU6,Regresando de trabajar
5/17/2024 1:12:43,ORL0OVLI,"Cuando espero alguna calificación o tengo que coordinarme para pensar que me falta para comer o tener un presupuesto para los días, o incluso no terminar un trabajo a tiempo "
5/17/2024 2:06:42,9N0G1GM1,Cuando una tarea no me sale.
5/17/2024 2:32:37,8TO1OH28,Cuando salgo y camino mucho
5/17/2024 8:59:10,MCPCHOLY,Cuando ya se está acabando el dia
5/17/2024 9:32:45,J4TCSVW0,Me preocupo mucho si empiezan a salir bugs o issues o veo problemas en el trabajo.
5/17/2024 9:44:25,UNBMV59R,"Creo que cuando estoy comiendo, no se es como que me llegan todas las preocupaciones que tengo y como que me empiezo a sentir mal"
5/17/2024 10:34:41,2CMHRG7X,Cuando tengo muchos pendientes y cosas por hacer en la casa
5/17/2024 10:45:56,AYNOOGEB,Cuando no se cómo lograre hacer cierta situación 
5/17/2024 10:55:25,ICZPD6VE,Cuando salgo tarde de mi casa por hacer otras cosas (y creer que llego rápido a otros lados).
5/17/2024 11:40:20,KXHR1RPU,Cuando cometo errores o cuando pienso en las tareas de la escuela
5/20/2024 1:29:54,7PFSQZGK,Al recordar las cosas que tengo que hacer y mis responsabilidades 
5/20/2024 8:07:43,RK9BOLBA,"Cuando me falta alguna tarea por entregar, cuando llegaré tarde a algún lugar y cuando ya no tengo dinero para mi semana. "
5/22/2024 19:49:00,AI6RPUWX,Cuando no hago nada
5/24/2024 11:34:36,KIBDSKF6,Cuando me doy cuenta que doy mas importancia a cosas externas y descuido mucho los estudios
5/24/2024 19:04:24,19QO0M44,Cuando pienso en los pendientes escolares o deudas
6/12/2024 18:05:58,I01P7HCR,Al tomar mis decisiones  especialmente referente a mi situación amorosa
