Marca Temporal,ID único,9. Describa ¿En qué situaciones de su vida considera que se siente estresado o molesto?
5/10/2024 15:00:27,XTINAGL2,"Cuando las cosas no están saliendo como yo lo tenia planeado, o al intentar algo y fracasar. También al tener problemas con mi circulo social y/o familiar"
5/10/2024 15:20:56,PJEM9DJR,El clima y discutir sobre cosas sin importancia
5/10/2024 16:27:26,90SG09DL,Cuando tengo mucga tarea o ante ciertas situaciones que para mi no son agradables o incomodas
5/10/2024 19:40:06,ZO6GKY6S,"Tener que lidiar con trabajo mal hecho o mucha carga de trabajo, soportar el tráfico o una gran concentración de gente donde estoy"
5/10/2024 22:31:28,S45KT7YO,Cuando hay tiempos de entrega
5/12/2024 0:48:52,T6C4YU2L,Cuando se me junta la carga
5/12/2024 20:18:00,9TQIQ8J0,Cuando las cosas no salen como las planeo
5/12/2024 20:47:26,QOKLYQJZ,"Cuando mis compañeros de equipo no me ayudan, cuando el tiempo no me da para hacer todo lo que quiero"
5/13/2024 9:54:13,AR2SHENR,Cuando estoy bajo la entrega de algo en un determinado tiempo
5/13/2024 18:24:51,MXD2BDEN,"Cuando las cosas no son como quiero o me parecen injustas, o cuando no logro comprender conceptos teóricos de mis estudios"
5/13/2024 20:32:28,I9HEYDJ0,Universidad
5/13/2024 20:43:31,C2VL95E5,Cuando tengo muchos pendientes y no me alcanza el tiempo.
5/13/2024 20:44:20,YOP5JWEP,CUANDO NO SALEN LAS COSAS COMO YO PENSABA 
5/13/2024 20:46:18,YG3TTUE9,Todo el tiempo
5/13/2024 22:36:11,ZOYW0DWU,Cuando no resultan las cosas
5/14/2024 10:02:00,V5J3IP8N,Cuando nada me sale como quiero 
5/15/2024 20:14:17,E4EGEZ1X,"Cuando algo no resulta cómo era esperado, tras realizar algo con demasiado esfuerzo y al final no conseguir ningún buen resultado."
5/15/2024 20:43:29,DJWQSCW2,Cuando las cosas no resultan bien a mi favor o cómo yo quería o debían suceder. Incluso cuando algo me disgusta o desagrada en cualquier ámbito.
5/15/2024 21:34:45,3KRGQIMS,"Cuando algo no logro realizarlo, cuando surgen inconvenientes ajenos."
5/15/2024 22:02:58,0K4CZRKQ,En situaciones que involucra a mi familia ya que no puedo decir lo que pienso realmente y solo me causa frustración y enojo el no poder decir nada puesto que es tomado a mal y hay veces que eso provoca ganas de llorar por impotencia 
5/15/2024 23:23:27,5GRMSXOF,Cuando algo que he intentado muchas veces no me sale 
5/16/2024 0:26:26,TDU8A4SC,Cuando mi equipo de trabajo no ayuda 
5/16/2024 0:29:08,QN6SP8W7,Cuando las cosas que planeo no salen como yo espero
5/16/2024 0:35:07,CHNLHC6X,en casi todas
5/16/2024 0:55:45,IX724P8G,"Cuando tenga que hacer un examen o proyecto importante me empiezo a sentir estresado poco a poco y me siento molesto cuando llego a procrastinar, donde me doy cuenta después de lo que pude haber avanzado"
5/16/2024 1:13:18,B05YDAZ0,"Cuando estoy lleno de trabajo, cuando aprendo algo nuevo."
5/16/2024 1:41:10,AJKRH064,Cuando las cosas no salen como quiero o no me siento incapaz de hacerlas
5/16/2024 1:44:31,1RHBUABD,"Tras fallar en alguna tarea, o al darme cuenta que estoy procrastinando"
5/16/2024 1:45:41,86IH30I7,"Exceso de ruido, tiempo en contra, incapacidad de resolver algo."
5/16/2024 7:20:37,7SV40TFC,"-Cuando las cosas no salen bien
-Cuando le hago daño emocionalmente a alguien que amo
-Cuando se salen de control cosas que creo tener en orden
-Cuando alguien está pasando por un mal rato y no puedo hacer nada por ayudarlo"
5/16/2024 8:27:32,G2H8Q8RA,Cuando no me salen bien las cosas que planeo 
5/16/2024 8:38:22,JC7G5EHG,"Cuando reprobe por primera vez, me sentí molesta conmigo misma "
5/16/2024 8:46:06,91VK19HH,Cuando llevo mucho tiempo intentando algo y aún no obtengo el resultado que quiero
5/16/2024 9:12:26,KCXYQUUD,Cuando tengo muchas tareas pendientes o cuando la gente actua de maneras poco consideradas desde mi punto de vista
5/16/2024 9:19:48,X7WQGQMT,Cuando las cosas no me salen como yo quisiera 
5/16/2024 9:36:26,BLO78S1C,Cuando son finales de semestre 
5/16/2024 9:59:21,8MM32FBW,"Cuando hace calor, cuando tengo miedo de algo "
5/16/2024 10:42:34,PYVXS5Y5,"Cuando tengo algún problema con mi círculo cercano de personas, cuando no logro algo que creía posible."
5/16/2024 11:30:00,DJRCLO8P,cuando tengo preciones de todo tipo
5/16/2024 12:00:29,ZJWB22YX,"en la escuela, en el trabajo y a veces en casa"
5/16/2024 12:53:47,3EAZ56FK,"Cuando hago de comer en mi casa, cuando las cosas no me salen como esperaba y cuando estoy apresurada de tiempo"
5/16/2024 13:11:17,ZT2GVR76,"Principalmente es cuando tengo hambre , una de las cosas que mas emperran es no comer, eso me pone demasiado molesto . "
5/16/2024 13:25:14,614O6Y4I,Con el entorno social ya que los comportamientos de la gente o las  condiciones materiales disponibles no son de calidad.
5/16/2024 13:45:24,14XGFLGK,"Cuando las cosas no salen como las planeaba, suelo ser metodica en cada una de las acciones que realizo y si no es lo que esperaba, me molesto. Cuando tengo pendientes que realizar, siento que no avanzo y cuando me da hambre."
5/16/2024 13:54:46,CKOKU9P4,Que algo no saliera como esperaba o que no pueda lograr algo 
5/16/2024 16:56:55,BGD4M2IP,Cuando no tengo el control absoluto de lo que quiero
5/16/2024 16:57:14,KGOL6JXH,cuando algo no sale como lo esperado
5/16/2024 17:16:08,V6MYHJGB,"Cuando no entiendo una materia o cuando me atraso en la misma, cuando recuerdo cosas que no quiero"
5/17/2024 0:16:31,JZEC253P,cuando hay fechas límites para un trabajo y cuando se presentan injusticias
5/17/2024 0:54:15,Y29P2VU6,"Rara vez, en verdad"
5/17/2024 1:12:43,ORL0OVLI,Cuando algo que ya tengo planeado tal vez no queda o cuando llevo tiempo trabajando y no es apreciado de la manera correcta 
5/17/2024 2:06:42,9N0G1GM1,Cuando la chica que me gusta no me hace caso o se molesta conmigo. Cuando no tengo tiempo libre y estoy lleno de tareas.
5/17/2024 2:32:37,8TO1OH28,Cuando las cosas no salen como quiero
5/17/2024 8:59:10,MCPCHOLY,Cuando las cosas no me salen
5/17/2024 9:32:45,J4TCSVW0,"Cuando estoy discutiendo, cuando salen problemas y cuando no tengo la solución a algunas cosas"
5/17/2024 9:44:25,UNBMV59R,Cuando son etapas finales de evaluación o en ciertos momentos específicos con mi familia 
5/17/2024 10:34:41,2CMHRG7X,Al momento de pensar en mi futuro y al realizar mis cosas del trabajo 
5/17/2024 10:45:56,AYNOOGEB,Cuando no estoy logrando lo que quise hacer o lo que pensé que podría lograr 
5/17/2024 10:55:25,ICZPD6VE,Cuando impera el caos o desorden. Cuando tengo que ir a lugares muy concurridos o con sonidos tan altos que no se escucha nada (pero si se juntan ambos). El calor tiende a estresarme también. Cuando una persona me molesta varias veces para hacer algo que no quiero porque no le veo sentido (o me obligan). Cuando alguien cambia mis planes solo porque sí y de último minuto.
5/17/2024 11:40:20,KXHR1RPU,Cuando tengo mucho por hacer y tengo muchas dificultades para hacerlo
5/20/2024 1:29:54,7PFSQZGK,"Al fallar en cosas simples; cuando las personas son necias o no siguen indicaciones, cuando hacen sus propias reglas para cosas que deben ser hechas de cierta manera, cuando son impredecibles, mienten o hacen cosas incorrectas"
5/20/2024 8:07:43,RK9BOLBA,"Cuando tengo algún trabajo o proyecto que entregar y el plazo está próximo a vencerse, cuando no puedo ayudar económicamente en mi casa y cuando me siento presionado por otras personas. "
5/22/2024 19:49:00,AI6RPUWX,Cuando no hago lo correcto 
5/24/2024 11:34:36,KIBDSKF6,"Cuando fallo algo que se supone deberia ser capaz, cuando tengo algo planeado y nada sale como lo plane, cuando voy tarde para algo."
5/24/2024 19:04:24,19QO0M44,Cuando las cosas salen mal 
6/12/2024 18:05:58,I01P7HCR,cuando estoy bajo presión o cuando no cumplo con mis promesas
