Marca Temporal,ID único,"2. Especifique, ¿en qué situaciones últimamente ha sentido ganas de llorar?"
5/16/2024 9:36:26,BLO78S1C,Ninguna
5/16/2024 9:59:21,8MM32FBW,Cuando pienso en mi futuro 
5/16/2024 10:42:34,PYVXS5Y5,"Me suelo estresar por la carga de estudio en la universidad, cuando recuerdo a una pareja con la que decidí terminar, o en situaciones que las cosas no salen como esperaba."
5/16/2024 11:30:00,DJRCLO8P,cuando me siento mal emocionalmente
5/16/2024 12:00:29,ZJWB22YX,Cuando estoy muy estresada
5/16/2024 12:53:47,3EAZ56FK,Cuando pienso en mi futuro
5/16/2024 13:11:17,ZT2GVR76,Cuando tengo sentimientos encontrados por alguna persona.
5/16/2024 13:25:14,614O6Y4I,En situaciones de desesperacion o no ver algo claro en mis objetivos
5/16/2024 13:45:24,14XGFLGK,"Cuando recuerdo a mis seres queridos que ya no estan conmigo, en estos dias fue el cumpleaños de uno de ellos y me hizo recordar lo valioso que son las personas. "
5/16/2024 13:54:46,CKOKU9P4,Cuando recuerdo el fallecimiento de un ser querido 
5/16/2024 16:56:55,BGD4M2IP,Problemas familiares 
5/16/2024 16:57:14,KGOL6JXH,Al sentir que no soy capaz de realizar ciertas cosas
5/16/2024 17:16:08,V6MYHJGB,La muerte de mi abuelo
5/17/2024 0:16:31,JZEC253P,Ninguna
5/17/2024 0:54:15,Y29P2VU6,Escuchando música
5/17/2024 1:12:43,ORL0OVLI,Cuando tengo malas notas o no entiendo algo por mucho que me esfuerce o trate de comprenderlo
5/17/2024 2:06:42,9N0G1GM1,Cuando no tengo tiempo libre y cuando la chica que me gusta no me hace caso.
5/17/2024 2:32:37,8TO1OH28,Cuando he peleado con mi padre por cuestiones de que dice que no lo ayudo y siempre estoy ocupado para él
5/17/2024 8:59:10,MCPCHOLY,Cuando se me juntas muchas cosas por hacer
5/17/2024 9:32:45,J4TCSVW0,Cuando discuto o siento incomodidad con mi pareja
5/17/2024 9:44:25,UNBMV59R,"Cuando de verdad siento que tengo muchas cosas encima, cuando tengo demasiadas tareas o proyectos"
5/17/2024 10:34:41,2CMHRG7X,Cuando ha habido algun fallecimiento familiar
5/17/2024 10:45:56,AYNOOGEB,"Cuando no logro las cosas que quiero, cuando recuerdo las cosas que quisiera hacer y cuando  veo los problemas que hay en mi hogar "
5/17/2024 10:55:25,ICZPD6VE,Durante un ataque de ansiedad o colapso mental. Cuando me acuerdo de algún evento pasado sumamente triste o nostálgico.
5/17/2024 11:40:20,KXHR1RPU,"Cuando siento frustración por dificultades de la vida (trabajo, tareas o proyectos escolares, cortos tiempos de entrega)"
5/20/2024 1:29:54,7PFSQZGK,"Cuando siento que las cosas se están volviendo demasiado para mí, al estar en situaciones incómodas y al hablar con o de personas con las que me causan conflicto emocional"
5/20/2024 8:07:43,RK9BOLBA,Cuando no cumplo o se me dificulta completar alguna tarea o meta en específico. 
5/22/2024 19:49:00,AI6RPUWX,Cuando todas las cosas no salen según lo esperado
5/24/2024 11:34:36,KIBDSKF6,"En un plan fallido para ver a alguien que vive bastante lejos, viene acompañado de un sentimiento de desilusion porque toda esta situacion queda inconclusa"
5/24/2024 19:04:24,19QO0M44,Cuando algo sale mal 
6/12/2024 18:05:58,I01P7HCR,"cuando recuerdo mi pasado, o cuando no encuentro respuestas a mis preguntas."
